Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 06:33:49 pm	0.114	0.244	0.000	1454.441	0.0058	0.000	34.722
10/18/2019 06:33:49 pm	0.115	0.244	2.909	1939.254	0.0058	0.069	46.296
10/18/2019 06:33:49 pm	0.116	0.244	5.818	969.627	0.0058	0.139	23.148
10/18/2019 06:33:49 pm	0.117	0.262	5.818	-969.627	0.0062	0.139	-23.148
10/18/2019 06:33:49 pm	0.118	0.262	2.909	-1939.254	0.0062	0.069	-46.296
10/18/2019 06:33:49 pm	0.119	0.262	0.000	-1454.441	0.0062	0.000	-34.722
10/18/2019 06:33:49 pm	0.120	0.262	0.000	-1.610E-12	0.0062	0.000	3.123E-14
10/18/2019 06:33:49 pm	0.121	0.262	0.000	1454.441	0.0062	0.000	34.722
10/18/2019 06:33:49 pm	0.122	0.262	2.909	1939.254	0.0062	0.069	46.296
10/18/2019 06:33:49 pm	0.123	0.262	5.818	969.627	0.0062	0.139	23.148
10/18/2019 06:33:49 pm	0.124	0.279	5.818	-969.627	0.0067	0.139	-23.148
10/18/2019 06:33:49 pm	0.125	0.279	2.909	-1939.254	0.0067	0.069	-46.296
10/18/2019 06:33:49 pm	0.126	0.279	0.000	-1454.441	0.0067	0.000	-34.722
10/18/2019 06:33:49 pm	0.127	0.279	0.000	0.000	0.0067	0.000	1.457E-13
10/18/2019 06:33:49 pm	0.128	0.279	0.000	1454.441	0.0067	0.000	34.722
10/18/2019 06:33:49 pm	0.129	0.279	2.909	1939.254	0.0067	0.069	46.296
10/18/2019 06:33:49 pm	0.130	0.279	5.818	969.627	0.0067	0.139	23.148
10/18/2019 06:33:49 pm	0.131	0.297	5.818	-969.627	0.0071	0.139	-23.148
10/18/2019 06:33:49 pm	0.132	0.297	2.909	-1939.254	0.0071	0.069	-46.296
10/18/2019 06:33:49 pm	0.133	0.297	0.000	-1454.441	0.0071	0.000	-34.722
10/18/2019 06:33:49 pm	0.134	0.297	0.000	0.000	0.0071	0.000	7.459E-14
10/18/2019 06:33:49 pm	0.135	0.297	0.000	1454.441	0.0071	0.000	34.722
10/18/2019 06:33:49 pm	0.136	0.297	2.909	1939.254	0.0071	0.069	46.296
10/18/2019 06:33:49 pm	0.137	0.297	5.818	969.627	0.0071	0.139	23.148
10/18/2019 06:33:49 pm	0.138	0.314	5.818	-969.627	0.0075	0.139	-23.148
10/18/2019 06:33:49 pm	0.139	0.314	2.909	-1939.254	0.0075	0.069	-46.296
10/18/2019 06:33:49 pm	0.140	0.314	0.000	-969.627	0.0075	0.000	-23.148
10/18/2019 06:33:49 pm	0.141	0.314	0.000	969.627	0.0075	0.000	23.148
10/18/2019 06:33:49 pm	0.142	0.314	2.909	1939.254	0.0075	0.069	46.296
10/18/2019 06:33:49 pm	0.143	0.314	5.818	969.627	0.0075	0.139	23.148
10/18/2019 06:33:49 pm	0.144	0.332	5.818	-969.627	0.0079	0.139	-23.148
10/18/2019 06:33:49 pm	0.145	0.332	2.909	-1939.254	0.0079	0.069	-46.296
10/18/2019 06:33:49 pm	0.146	0.332	0.000	-1454.441	0.0079	0.000	-34.722
10/18/2019 06:33:49 pm	0.147	0.332	0.000	1.277E-12	0.0079	0.000	-6.939E-15
10/18/2019 06:33:49 pm	0.148	0.332	0.000	1454.441	0.0079	0.000	34.722
10/18/2019 06:33:49 pm	0.149	0.332	2.909	1939.254	0.0079	0.069	46.296
10/18/2019 06:33:49 pm	0.150	0.332	5.818	969.627	0.0079	0.139	23.148
10/18/2019 06:33:49 pm	0.151	0.349	5.818	-969.627	0.0083	0.139	-23.148
10/18/2019 06:33:49 pm	0.152	0.349	2.909	-1939.254	0.0083	0.069	-46.296
10/18/2019 06:33:49 pm	0.153	0.349	0.000	-969.627	0.0083	0.000	-23.148
10/18/2019 06:33:49 pm	0.154	0.349	0.000	969.627	0.0083	0.000	23.148
10/18/2019 06:33:49 pm	0.155	0.349	2.909	1939.254	0.0083	0.069	46.296
10/18/2019 06:33:49 pm	0.156	0.349	5.818	969.627	0.0083	0.139	23.148
10/18/2019 06:33:49 pm	0.157	0.367	5.818	-969.627	0.0087	0.139	-23.148
10/18/2019 06:33:49 pm	0.158	0.367	2.909	-1939.254	0.0087	0.069	-46.296
10/18/2019 06:33:49 pm	0.159	0.367	0.000	-969.627	0.0087	0.000	-23.148
10/18/2019 06:33:49 pm	0.160	0.367	0.000	969.627	0.0087	0.000	23.148
10/18/2019 06:33:49 pm	0.161	0.367	2.909	1939.254	0.0087	0.069	46.296
10/18/2019 06:33:49 pm	0.162	0.367	5.818	969.627	0.0087	0.139	23.148
10/18/2019 06:33:49 pm	0.163	0.384	5.818	-969.627	0.0092	0.139	-23.148
10/18/2019 06:33:49 pm	0.164	0.384	2.909	-1939.254	0.0092	0.069	-46.296
10/18/2019 06:33:49 pm	0.165	0.384	0.000	-969.627	0.0092	0.000	-23.148
10/18/2019 06:33:49 pm	0.166	0.384	0.000	969.627	0.0092	0.000	23.148
10/18/2019 06:33:49 pm	0.167	0.384	2.909	1939.254	0.0092	0.069	46.296
10/18/2019 06:33:49 pm	0.168	0.384	5.818	969.627	0.0092	0.139	23.148
10/18/2019 06:33:49 pm	0.169	0.401	5.818	-969.627	0.0096	0.139	-23.148
10/18/2019 06:33:49 pm	0.170	0.401	2.909	-1939.254	0.0096	0.069	-46.296
10/18/2019 06:33:49 pm	0.171	0.401	0.000	-1454.441	0.0096	0.000	-34.722
10/18/2019 06:33:49 pm	0.172	0.401	0.000	7.994E-12	0.0096	0.000	8.153E-14
10/18/2019 06:33:49 pm	0.173	0.401	0.000	1454.441	0.0096	0.000	34.722
10/18/2019 06:33:49 pm	0.174	0.401	2.909	1939.254	0.0096	0.069	46.296
10/18/2019 06:33:49 pm	0.175	0.401	5.818	969.627	0.0096	0.139	23.148
10/18/2019 06:33:49 pm	0.176	0.419	5.818	-969.627	0.0100	0.139	-23.148
10/18/2019 06:33:49 pm	0.177	0.419	2.909	-1939.254	0.0100	0.069	-46.296
10/18/2019 06:33:49 pm	0.178	0.419	0.000	-969.627	0.0100	0.000	-23.148
10/18/2019 06:33:49 pm	0.179	0.419	0.000	969.627	0.0100	0.000	23.148
10/18/2019 06:33:49 pm	0.180	0.419	2.909	1939.254	0.0100	0.069	46.296
10/18/2019 06:33:49 pm	0.181	0.419	5.818	969.627	0.0100	0.139	23.148
10/18/2019 06:33:49 pm	0.182	0.436	5.818	-969.627	0.0104	0.139	-23.148
10/18/2019 06:33:49 pm	0.183	0.436	2.909	-1939.254	0.0104	0.069	-46.296
10/18/2019 06:33:49 pm	0.184	0.436	0.000	-969.627	0.0104	0.000	-23.148
10/18/2019 06:33:49 pm	0.185	0.436	0.000	969.627	0.0104	0.000	23.148
10/18/2019 06:33:49 pm	0.186	0.436	2.909	1939.254	0.0104	0.069	46.296
10/18/2019 06:33:49 pm	0.187	0.436	5.818	969.627	0.0104	0.139	23.148
10/18/2019 06:33:49 pm	0.188	0.454	5.818	-969.627	0.0108	0.139	-23.148
10/18/2019 06:33:49 pm	0.189	0.454	2.909	-1939.254	0.0108	0.069	-46.296
10/18/2019 06:33:49 pm	0.190	0.454	0.000	-969.627	0.0108	0.000	-23.148
10/18/2019 06:33:49 pm	0.191	0.454	0.000	969.627	0.0108	0.000	23.148
10/18/2019 06:33:49 pm	0.192	0.454	2.909	1939.254	0.0108	0.069	46.296
10/18/2019 06:33:49 pm	0.193	0.454	5.818	969.627	0.0108	0.139	23.148
10/18/2019 06:33:49 pm	0.194	0.471	5.818	-969.627	0.0112	0.139	-23.148
10/18/2019 06:33:49 pm	0.195	0.471	2.909	-1939.254	0.0112	0.069	-46.296
10/18/2019 06:33:49 pm	0.196	0.471	0.000	-969.627	0.0112	0.000	-23.148
10/18/2019 06:33:49 pm	0.197	0.471	0.000	969.627	0.0112	0.000	23.148
10/18/2019 06:33:49 pm	0.198	0.471	2.909	1939.254	0.0112	0.069	46.296
10/18/2019 06:33:49 pm	0.199	0.471	5.818	969.627	0.0112	0.139	23.148
10/18/2019 06:33:49 pm	0.200	0.489	5.818	-969.627	0.0117	0.139	-23.148
