s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.123	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.124	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.125	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.126	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.127	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.128	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.129	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.130	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.131	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.132	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.133	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.134	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.135	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.136	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.137	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.138	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.139	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.140	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.141	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.142	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.143	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.144	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.145	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.146	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.147	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.148	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.149	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.150	0.017	0.000	0.000	4.1667E-4	0.000	0.000
