m2	m2	m2	m2	m2	m2	m2	m2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:44 pm	0.252	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.253	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.254	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.255	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.256	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.257	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.258	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.259	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.260	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.261	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.262	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.263	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.264	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.265	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.266	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.267	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.268	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.269	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.270	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.271	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.272	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.273	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.274	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.275	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.276	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.277	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.278	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.279	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.280	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.281	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.282	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.283	0.017	0.000	0.000	4.1667E-4	0.000	0.000
